Номер,Год,Страна,Тип технологии,Компания или оператор,Суть и название проекта,Источник
15,2022,Таиланд,Умный город,BlueSignal,Внедрение ИИ-технологии распознавания на базе CCTV для прогнозирования трафика на перегруженных дорогах Бангкока.,[40]
16,2017,Камбоджа,5G и Телекоммуникации,"Cellcard, Smart Axiata, Metfone",Развертывание и расширение охвата мобильных сетей стандарта 4G в Камбодже.,[41]
17,2011,"Индонезия, Малайзия",Инфраструктура,"Huawei Marine Networks (HMN Tech), Telekom Malaysia Berhad",Завершение строительства подводной кабельной системы Batam-Dumai-Melaka (BDM) длиной 400 км между Индонезией и Малайзией.,"[42, 43, 60]"
18,2024,Малайзия,Искусственный интеллект,ByteDance,"Инвестиции в инфраструктуру ИИ ($2,13 млрд) и строительство нового дата-центра в штате Джохор, Малайзия.","[47, 50, 51, 52]"
19,2024,Таиланд,Искусственный интеллект,ByteDance,"План по инвестициям в объекты данных и инфраструктуры ИИ в размере $8,8 млрд в Таиланде.",[47]
20,2024,"Сингапур, Таиланд, Индонезия, Малайзия, Филиппины, Вьетнам",Облачные технологии и ЦОД,Huawei Cloud,"Планы строительства нового ЦОД во Вьетнаме (после уже запущенных дата-центров в Сингапуре, Таиланде, Индонезии, Малайзии и Филиппинах).","[49, 60]"
21,2025,"Сингапур, Малайзия",Инфраструктура,HMN Tech (ранее Huawei Marine Networks),"Активация и строительство подводного оптоволоконного кабеля PEACE (Pakistan & East Africa Connecting Europe), конкурирующего с региональными сетями, соединяющего Сингапур, Малайзию и Францию.","[45, 53, 56]"
22,2025,"Вьетнам, Камбоджа",Инфраструктура,"HMN Tech, S.B. Submarine Systems",Организация и строительство высокоскоростных подводных линий связи в рамках ЦШП по субсидированным ценам (упоминаются проекты для Вьетнама и Камбоджи).,[46]
23,2013,Таиланд,Навигация и Спутниковые системы,Wuhan Optics Valley BeiDou Holding Group Co.,"Строительство первых трех зарубежных базовых станций CORS для спутниковой навигационной системы BeiDou в провинции Чонбури, Таиланд, и планирование научно-технологического ИИ-города Китай-АСЕАН.",[58]
24,2013,Лаос,Навигация и Спутниковые системы,ComNav Technology Ltd.,Строительство и успешный ввод в эксплуатацию первой непрерывно действующей опорной станции (CORS) для системы BeiDou в Лаосе.,[59]
25,2017,Малайзия,Электронная коммерция и Финтех,Alibaba,Открытие первой за пределами Китая «Цифровой зоны свободной торговли» (DFTZ) и хаба Всемирной платформы электронной торговли (eWTP).,[60]
26,2018,Малайзия,Умный город,Alibaba Cloud,Внедрение системы Malaysia City Brain в Куала-Лумпуре для оптимизации городского трафика с помощью ИИ.,[60]
27,2014-2021,Малайзия,5G и Телекоммуникации,"Huawei, ZTE","Развертывание сетей 3G/4G LTE и первое крупномасштабное коммерческое внедрение сетей 5G в Малайзии (в партнерстве с Maxis, U Mobile, Celcom и Digi).","[60, 66]"
28,2012-2022,Малайзия,Умный город,"Huawei, Huawei Cloud","Контракты на создание умного города Converse@i-City (Шах-Алам), запуск платформы Alpha Edge, открытие зарубежного учебного ИТ-центра (Киберджая) и исследовательского центра Tech City (Куала-Лумпур).",[60]
29,2017-2019,Малайзия,Искусственный интеллект,"SenseTime, Siasun Robot Automation","Строительство AI Park в Технологическом парке Малайзии (SenseTime) и проекта Robotic Future City в Джохоре (Siasun) стоимостью $3,45 млрд.",[60]
30,2020-2021,Малайзия,Облачные технологии и ЦОД,Tencent Cloud,Запуск первого дата-центра Tencent в Малайзии и партнерство с CCB (Labuan) для внедрения облачных решений и финансовой платежной платформы WeChat Pay.,[60]
31,2022,АСЕАН,Умное сельское хозяйство,DJI,Дебют на мировом рынке (в т.ч. в Юго-Восточной Азии) флагманского сельскохозяйственного дрона DJI AGRAS T40 для масштабного опрыскивания и картографирования.,[62]
32,2024-2025,Вьетнам,5G и Телекоммуникации / Электроника,"TCL, ZTE","Запланированные инвестиции TCL (280 млн USD) в открытие нового завода TCL Huaxing2 на севере Вьетнама, а также сотрудничество с ZTE по развитию 5G и центров данных.",[63]
33,2026,Таиланд,Электронная коммерция и Финтех,Weixin Pay (Tencent),Интеграция Weixin Pay в систему Bangkok Bank Mobile Banking для беспрепятственных трансграничных мобильных платежей.,[68]
34,2017,Малайзия,Электронная коммерция и Финтех,"Alipay (Ant Group), Touch 'n Go",Создание совместного предприятия TNG Digital Sdn Bhd для разработки и запуска электронного кошелька и мобильных платежей в Малайзии.,[69]
35,2026,"Сингапур, Таиланд",Искусственный интеллект,Xiaodu Technology (Baidu),Стратегическая экспансия ИИ-решений для умных гостиниц («AI+Hotel») на рынки Юго-Восточной Азии (Сингапур и Таиланд).,[71]
36,2024,"Сингапур, Малайзия",Инфраструктура,China Mobile International (CMI),"Активация высокоскоростного подводного кабеля PEACE (15 000 км), соединяющего Сингапур и Францию с расширением на Малайзию, для связи Азия-Европа.",[56]
37,2023,АСЕАН (в целом),Электронная коммерция и Финтех,АСЕАН (коллективный проект),"Запуск ASEAN Digital Economy Framework Agreement (DEFA) для комплексного ускорения цифровой торговли, трансграничных платежей и внедрения ИИ.",[61]
38,Нет данных,Филиппины,Финансовые технологии,"GCash, Alipay+","Запуск инновационного бесконтактного платежного решения, расширяющего возможности глобальных платежей.",[72]
39,Нет данных,Индонезия,Облачные вычисления,"Alibaba Cloud, GoTo Group",Успешная миграция инфраструктуры GoTo Financial в дата-центры Alibaba Cloud в Джакарте.,[73]
40,2021,Китай (международные инициативы),Финансовые технологии,People's Bank of China (PBoC),Разработка цифрового юаня (e-CNY) и подготовка нормативной базы для исследований трансграничных платежей CBDC совместно с другими центробанками.,[65]
41,2026,АСЕАН (Мьянма и др.),Умный город,"Китайские технологические компании, Huawei",Поставка систем биометрического наблюдения и оборудования для командных центров «Безопасного города» в рамках Цифрового шелкового пути.,[70]
42,2026,Вьетнам,Телекоммуникации,"Mobifone, Huawei, ZTE","Переговоры между вьетнамским мобильным оператором Mobifone и китайскими компаниями (Huawei, ZTE) о заключении контрактов на строительство частей сети 5G.",[74]
43,2024,АСЕАН (Тихоокеанский регион),Инфраструктура,"HMN Technologies (Huawei Marine), China Mobile, China Telecom",Развертывание подводных волоконно-оптических кабелей и создание сетей океанического наблюдения для расширения цифровой инфраструктуры.,[75]
44,2019,АСЕАН (в целом),Умный город,Huawei,"Реализация концепции «Безопасного города» в различных странах, включая установку умных камер видеонаблюдения и систем распознавания лиц и номеров.",[76]
45,2025,Индонезия,Облачные вычисления и Искусственный интеллект,"Huawei Cloud, Telkom, Telkomsel",Инвестиции в местную облачную инфраструктуру (запуск совместного CDN-сервиса с Telkom и подготовка к открытию 4-й зоны доступности AZ в 2026 году).,[77]
46,2025,Сингапур,Искусственный интеллект,"Huawei Cloud, YITU Technology, iFLYTEK, Sunline",Создание альянса Huawei Cloud Singapore AI Pioneer Partner Ecosystem Alliance для разработки и внедрения генеративного ИИ в промышленность и финансы.,[78]
47,2019,Сингапур,Искусственный интеллект,HUAWEI CLOUD,Открытие Лаборатории облачных вычислений и ИИ (Cloud & AI Innovation Lab) для создания AI R&D роботов и решений типа Traffic Intelligent Twins.,[79]
48,2011,"Малайзия, Индонезия",Инфраструктура,Huawei Marine Networks,"Получение контракта под ключ на прокладку подводного кабеля BDM (Batam-Dumai-Melaka), соединяющего Малайзию и Индонезию.",[80]
49,Нет данных,Малайзия,Умный город,Huawei,"Развертывание комплексного ИКТ-решения Smart City в Малайзии, включающего командные центры, облачное видеонаблюдение и визуальный анализ данных.",[81]
50,2023,"Сингапур, Индонезия",Искусственный интеллект,iFLYTEK,"Официальный запуск AI-оборудования компании на рынках Юго-Восточной Азии, включая устройства для перевода, смарт-диктофоны и сканеры-ручки.",[82]
51,2018,Индонезия,Электронная коммерция,"Alibaba Group, SoftBank, Tokopedia","Сделка по инвестированию $1,1 млрд в индонезийскую платформу электронной коммерции Tokopedia под руководством Alibaba и SoftBank. По итогам раунда SoftBank владел ~40% компании, Alibaba — ~25%. Tokopedia оценена в ~$7 млрд. Alibaba ранее вложила $1,1 млрд в августе 2017 года; параллельно Alibaba — мажоритарный владелец Lazada (конкурента Tokopedia в Индонезии, инвестиции удвоены до $4 млрд в 2018 году).",[83][86][112]
52,2015,Индонезия,Умный город,"Huawei, PT PINS Indonesia","Подписание соглашения о сотрудничестве Huawei и PT PINS Indonesia по проекту Smart City в Бандунге: развёртывание системы видеонаблюдения с аналитикой, Wi-Fi высокой плотности, Центра экстренного командования (ECC) с многоканальной системой оповещения граждан, решений для полиции, унифицированных коммуникаций и видеоконференций. Соглашение подписано в рамках Индонезийско-китайского экономического форума в Пекине.",[84]
53,2025,Многострановой (ЮВА),Электронная коммерция / ИИ,ByteDance (TikTok Shop),"Перенаправление ByteDance $14 млрд из соглашения по TikTok USA на развитие электронной торговли, ИИ-инфраструктуры и платформенной экспансии в Юго-Восточной Азии. TikTok Shop достиг $34 млрд GMV в ЮВА в 2024 году; планируется развитие кросс-граничных складов в Индонезии и Вьетнаме.",[89]
54,2020,Мьянма,ИИ / Видеонаблюдение,"Huawei, Linn IT Solution, Naung Yoe","14 декабря 2020 года в столице Мьянмы Нейпьидо запущена первая фаза проекта Safe City: система из 335 камер видеонаблюдения Huawei с ИИ-распознаванием лиц и номерных знаков, охватывающая 8 тауншипов. Стоимость проекта — $1,2 млн; тендер на строительство командного центра выиграла Linn IT Solutions, установку камер и кабелей выполнила Naung Yoe. Система автоматически идентифицирует лиц из базы разыскиваемых и оповещает власти. Хранение видеозаписей — 60 дней. Параллельно подписан аналогичный контракт на Safe City в Мандалае (3 тауншипа, $1,24 млн, планировался к вводу в 2021 году). После военного переворота 1 февраля 2021 года хунта приостановила действие статей 5, 7, 8 Закона о защите конфиденциальности граждан, существенно расширив возможности слежки без судебного контроля. Human Rights Watch расценила систему как серьёзную угрозу правам человека, в том числе свободе собраний и неприкосновенности частной жизни.",[91][94][97][98][106]
55,2025,Многострановой (ЮВА),Электронные платежи,"China UnionPay, Alipay, WeChat Pay","Экспансия китайских платёжных компаний в ЮВА в рамках Цифрового Шёлкового пути: продвижение QR-платежей через дипломатические соглашения (UnionPay — Вьетнам; меморандум Китай — Индонезия об использовании нацвалют). Опора на систему CIPS и политику интернационализации юаня. TikTok Shop, Lazada, Shopee обеспечивают торговую инфраструктуру.",[99]
56,2025,Многострановой (ЮВА),Подводный кабель / Телекоммуникации,China Mobile International (CMI),"16 июля 2025 года China Mobile International активировала подводную кабельную систему SJC2 (Southeast Asia–Japan Cable 2) протяжённостью 10 500 км с пропускной способностью свыше 126 Тбит/с. Основная магистраль соединяет Сингапур, Гонконг и Японию; ответвления охватывают другие страны АТР. SJC2 обеспечивает маршрутное резервирование, наращивает пропускную способность для 5G, облачных вычислений, ИИ и электронной коммерции. Через соединение с кабелем PEACE (введён в 2024 году) сеть CMI распространяется до Европы. Совокупная сеть CMI охватывает 78 стран, 100+ кабельных систем, 168+ Тбит/с пропускной способности, 330+ точек присутствия.",[85][107][108][109][120]
57,2025,Малайзия,ИИ / Подготовка кадров,Huawei Technologies (Malaysia),"На саммите Huawei Cloud AI Ecosystem Summit APAC 2025 (в рамках ASEAN AI Malaysia Summit) Huawei объявила о программе подготовки 30 000 малайзийских специалистов в области ИИ за три года (студенты, госслужащие, руководители отрасли, ассоциации). Программа включает платформу Huawei Cloud с 34 регионами и 101 зоной доступности (5 регионов и 17 зон в АСЕАН), поддержку 160+ open-source моделей, мультимодальные модели Pangu. Параллельно Huawei планирует подготовить 200 местных ИИ-партнёров через трансфер знаний. Инициатива согласована с Национальной программой облачных вычислений Малайзии (NCCP) и целью стать мировым облачным хабом к 2030 году.",[87]
58,2017,"Малайзия, Камбоджа, Таиланд",Подводный кабель / Телекоммуникации,"Telcotech (EZECOM), Symphony Communication, Telekom Malaysia","Ввод в эксплуатацию в марте 2017 года подводной кабельной системы Malaysia-Cambodia-Thailand (MCT) протяжённостью ~1 300 км с технологией 100 Гбит/с и системной ёмкостью 30+ Тбит/с. Кабель соединяет Сиануквиль (Камбоджа), Районг (Таиланд) и Черанг (Малайзия). В Камбодже MCT подключён к системе AAG (Asia-America Gateway); Telcotech — единственный камбоджийский участник AAG. Symphony Communication — первый частный оператор подводных кабелей в Таиланде. Начальная пропускная способность при запуске составляла 1,5 Тбит/с.",[90][92]
59,2017,Малайзия,Умный город / Безопасность,"Huawei Malaysia, MIMOS","6 сентября 2017 года на конференции Huawei Connect 2017 в Шанхае Huawei Malaysia и MIMOS (Национальный центр ИКТ-исследований и разработок Малайзии) подписали Меморандум о взаимопонимании (MoU) для совместного выявления возможностей в сфере общественной безопасности и умных городов. Стороны договорились об обмене разработками через Openlab Huawei и Open Innovation Platform MIMOS, а также о совместном R&D интеллектуальных видеооблачных решений для умных городов. Первое соглашение MIMOS и Huawei было заключено ещё в 2015 году в области больших данных и IoT.",[93]
60,2024,Малайзия,ИИ / 5G / Подготовка кадров,"Huawei Technologies (Malaysia), Manpower Department (JTM) MOHR","17 декабря 2024 года на Malaysia-China Summit 2024 Huawei Malaysia и Департамент труда Малайзии (JTM, KESUMA) подписали MoU об интеграции ИКТ-знаний в систему профессионально-технического образования (TVET). Первый TVET Huawei Learning Centre открывается на базе ILP Kuala Lumpur с курсами по телекоммуникационным технологиям, ИИ, 5G, облачным вычислениям, IoT. Первый выпуск — 2 000 слушателей (инженеры, преподаватели, студенты) с сертификацией Huawei/JTM. Планируется модернизация инфраструктуры ILP Pasir Gudang и Senai Campus (умные классы, Wi-Fi 7, 5G, дата-центры). Соглашение заключено по итогам переговоров премьер-министра Анвара Ибрагима с руководством Huawei в Пекине.",[95]
61,2021,Индонезия,Облачные вычисления / Дата-центр,Tencent Cloud,"В апреле 2021 года Tencent Cloud открыла первый интернет-дата-центр в Индонезии в центральном деловом районе Джакарты. Дата-центр обеспечивает снижение задержек доступа к данным, соответствие местным регуляторным требованиям и расширение возможностей аварийного восстановления в АТР. Объект поддерживает бизнес Tencent в Индонезии: музыкальный стриминг Joox, видеосервис WeTv, а также партнёрство с Bank Neo Commerce (распределённая СУБД TDSQL). Alibaba первой открыла дата-центр в Индонезии (2018), за ней последовали Google и AWS; Microsoft анонсировала собственный регион позднее.",[96][130][131][132]
62,2021,Сингапур,ИИ / Подготовка кадров,SenseTime International,"19 июля 2021 года SenseTime официально запустила SenseTime International AI Innovation Hub в Сингапуре — локальный центр для развития ИИ-потенциала в ЮВА. Хаб демонстрирует технологии компьютерного зрения и ИИ в восьми тематических зонах (дополненная реальность, образование, медицина, ритейл). Одновременно подписаны два меморандума о взаимопонимании: с Business China (программы стажировок и международного обмена студентов СНГ/Сингапур/Китай) и с ITE (Институт технического образования) для совместной разработки ИИ-учебных программ, наставничества и сертификации студентов и взрослых слушателей в области компьютерного зрения и умных городов. Мероприятие состоялось под председательством министра образования Сингапура Сун Сюэлин.",[116]
63,2021,Филиппины,Мобильная связь / Телекоммуникации,DITO Telecommunity (China Telecom),"К 30 июня 2021 года DITO Telecommunity (третий телеком-оператор Филиппин, принадлежащий консорциуму China Telecom и компаний бизнесмена Денниса Уя) расширила сеть на 17 новых локаций — до 140 городов и муниципалитетов страны (от 15 пилотных зон при коммерческом запуске 8 марта 2021 года). DITO планировала выполнение второго технического аудита в июле 2021 года: покрытие 51% территории страны и среднюю скорость интернета 55 Мбит/с.",[117][141]
64,2021,Лаос,Железнодорожная связь / 5G,"Huawei, лаосские телеком-операторы","Открытие китайско-лаосской железной дороги (протяжённость 1 035 км, Куньмин — Вьентьян, стоимость $6 млрд), оснащённой решением Huawei Smart Railway Solution. Huawei совместно с лаосскими телекоммуникационными операторами построила высокоскоростную сеть вдоль всей трассы, сократив время в пути между двумя столицами с 2 суток по дороге до 3 часов на поезде. Министр технологий и коммуникаций Лаоса Бовьенгкхам Вонгдара подчеркнул, что сеть обеспечит стабильное высокоскоростное подключение для пассажиров и жителей прилегающих районов, а вскоре — покрытие 5G. Проект реализован в контексте стратегии Пояса и Пути: Лаос из страны, не имеющей выхода к морю, превратился в государство с выходом к китайской инфраструктуре.",[118]
65,2021,Таиланд,5G / Умный госпиталь,"Huawei Technologies (Thailand), Siriraj Hospital, NBTC","17 декабря 2021 года NBTC (Национальная комиссия по телерадиовещанию и телекоммуникациям), больница Сирирадж и Huawei Technologies (Thailand) совместно запустили первый крупнейший в АСЕАН проект ""Siriraj World Class 5G Smart Hospital"". Проект реализован на базе Университета Махидол и предусматривает использование 5G, облачных технологий и ИИ. Сирирадж и Huawei подписали пятилетний MoU ещё в декабре 2020 года; к запуску развёрнуты беспилотники для бесконтактной доставки медикаментов. Планируется создание Совместной инновационной лаборатории для инкубации более 30 приложений 5G, которые к 2022 году будут тиражированы по всей стране. Премьер-министр Таиланда Праюта Чан-о-ча и посол КНР Хань Чжицян присутствовали на церемонии открытия, подчеркнув модельный характер проекта для сотрудничества Таиланда и Китая в сфере 5G.",[133]
66,2025,Индонезия,Облачные вычисления / ИИ,"Alibaba Cloud, GoTo Group","Переход GoTo Group (Индонезия) на облачную инфраструктуру Alibaba Cloud с целью создания масштабируемой, ИИ-ориентированной платформы при соблюдении требований локального суверенитета данных. Переведены на Alibaba Cloud: основные приложения GoTo Financial, платформа бизнес-аналитики (MaxCompute), кредитные системы (PolarDB и Tair). Перенос выполнен менее чем за год без перебоев в работе; применена архитектура «dual-core» для постепенной миграции трафика. В результате 50% IT-инфраструктуры GoTo размещено в дата-центрах Alibaba Cloud на территории Индонезии. Использование Alibaba Cloud обеспечивает соответствие законам Индонезии о защите данных, а также поддерживает чат-бот GoTo на базе Sahabat AI — LLM для языка бахаса Индонесия.",[101]
67,2021,Индонезия,Телекоммуникации / 4G,BAKTI Kominfo (Министерство связи Индонезии),"Программа BAKTI Kominfo по строительству 7 904 вышек сотовой связи 4G (BTS) в труднодоступных регионах 3T (terdepan, terpencil, tertinggal — приграничные, отдалённые и отставшие районы) к 2022 году: 4 200 объектов в 2021 году и 3 704 — в 2022 году. Около 65% объектов (5 204 BTS) расположены в провинциях Папуа и Западное Папуа. Схема реализации — операционное сотрудничество (KSO) с лицензированными мобильными операторами: BAKTI строит и обслуживает инфраструктуру, операторы предоставляют услуги 4G абонентам. За 2019–2020 годы BAKTI уже ввела в строй 1 209 BTS 4G. Финансирование — госбюджет (APBN) и неналоговые доходы Kominfo.",[102]
68,2024,Многострановой (ЮВА/АТР),Подводный кабель / Телекоммуникации,"HMN Technologies (Huawei Marine), China Mobile, China Telecom, China Unicom","Аналитический обзор Lowy Institute (2024) об экспансии китайских компаний в инфраструктуру подводных кабелей в рамках Цифрового Шёлкового пути. HMN Technologies (бывший Huawei Marine) задействована в 16 проектах подводных кабелей совокупной стоимостью $1,6 млрд в 27 странах АТР и за последнее десятилетие уложила 60 000 км кабелей (4-е место в мире). China Mobile, China Telecom и China Unicom вложили $500 млн в кабельную сеть, охватывающую Европу, Ближний Восток и Азию. Кабельная система PEACE стоимостью $425 млн связывает Пакистан, Восточную Африку и Европу. Обеспечивает Китаю доступ к иностранным данным, усиление влияния китайских техкорпораций и стандартов. IISS фиксирует 11 завершённых кабельных проектов в Индонезии, 7 — в Южной Корее, 6 — в ОАЭ.",[19][55][107][110][137][138][143]
69,2022,Индонезия,ИИ / Подготовка кадров / Телекоммуникации,"Huawei Indonesia, Telkomsel, ASEAN Foundation","Программа Huawei по цифровой подготовке кадров в Индонезии: охватывает более 33 университетов и колледжей страны, подготовлено ~52 000 индонезийцев за 2020–2021 годы (программа Spark для стартапов). В рамках MoU с Telkomsel 400 сотрудников оператора прошли 200-дневное обучение по 5G, NFV, SDN, облакам, ИИ, IoT. Huawei запустила ICT Academy в 70+ странах, включая конкурсы ICT Competition (53 команды из 24 университетов, 1 164 участника), Seeds for the Future, TechDay. На региональном уровне — соглашение Huawei с ASEAN Foundation по программе ASEAN Seeds for the Future. По данным ASPI (2025), 70% сетевого оборудования Индоsat, XL Axiata и Smartfren в 2024 году произведено Huawei (4G и переход к 5G). Ценовая конкурентоспособность Huawei обеспечена госсубсидиями КНР. Зависимость Индонезии от Huawei ограничивает цифровой суверенитет и стратегическую автономию страны в условиях обострения технологического соперничества США и Китая.",[111][114]
70,2025,Многострановой (ЮВА),Электронная коммерция,ByteDance (TikTok Shop),"Динамика GMV TikTok Shop в ЮВА: в 2023 году — ~$16,3 млрд (рост в 4 раза г/г), в 2024 году — ~$25–30 млрд (второе место в регионе, обогнав Lazada). В H1 2025 года дневной GMV приблизился к $140 млн; в Индонезии — $6 млрд за первое полугодие, в Таиланде — $5,9 млрд. TikTok Shop доминирует в категориях моды, косметики и товаров для ухода за собой через модель «shoppertainment» (лайвстримы инфluencers). На сравнение: GMV Shopee в 2024 году — $83,4 млрд (+29,1% г/г). Для расчётов используется методология Momentum Works, включающая отменённые и возвращённые заказы.",[115][134]
71,2025,Индонезия,5G,"Telkomsel, Huawei","Telekomsel развернула ~1 000 антенн Huawei EasyAAU на спектре 2,3 ГГц в Бали в рамках проекта 5G City, установив эталон 5G-развёртывания в АТР. Технология EasyAAU с листовой антенной обеспечила рост среднего нисходящего трафика в 3,8 раза по сравнению с предыдущими nTnR-решениями, при этом инвестиционная эффективность удвоилась. Проект тиражируется на Greater Jakarta Area (Джакарта, Богор, Депок, Тангеранг, Бекаси). Telkomsel — дочерняя компания Telkom Indonesia, крупнейший OTT-оператор страны; партнёрство с Huawei направлено на построение сети с 5G-A возможностями и продвижение цифровой повестки Индонезии.",[129]
72,2018,Многострановой (ЮВА/ПКМ),Навигация / Спутниковые технологии,"CAST (China Academy of Space Technology), BeiDou Navigation Satellite System","19 ноября 2018 года Китай запустил ещё два спутника BDS-3 и завершил базовую конфигурацию системы BeiDou Navigation Satellite System (BDS), начав предоставление навигационных услуг странам Пояса и Пути. К концу 2020 года BDS-3 стала глобальной системой с точностью позиционирования 2,5–5 м. Продукты BDS вышли на рынки более 70 стран, в т.ч. свыше 30 стран БиП. В ЮВА BDS применяется: в Мьянме — для земельного кадастра и мониторинга речных перевозок, в Лаосе — для точного земледелия и фитосанитарного контроля, в Брунее — для городской модернизации и туризма. В Пакистане — для транспорта и управления портами.",[57][135][145]
73,2025,Малайзия,5G / Телекоммуникации,"U Mobile, Huawei Malaysia, ZTE Malaysia","15 апреля 2025 года U Mobile (Малайзия) подписала соглашения с Huawei Malaysia и ZTE Malaysia в качестве стратегических технологических партнёров для строительства нового поколения сети Next Gen 5G (предприятельского класса). Цели: покрытие 80% населённых районов в первые 12 месяцев и 90% — в последующие. Церемония прошла в присутствии министра связи Малайзии Датук Фахми Фазила и Ли Лэчэна (секретаря партийного комитета Министерства промышленности и информационных технологий КНР). Из всех поставщиков, получивших тендерные приглашения, только две китайские компании ответили на предложения. Huawei применит технологию 5G MetaAAU с Massive-MIMO; ZTE — решения 5G CommonCore и RAN. Сеть будет enterprise-grade с поддержкой network slicing и 5G-A с первого дня развёртывания.",[136]
74,2025,Вьетнам,5G / Телекоммуникации,"Huawei, ZTE",В ноябре 2025 года Huawei и ZTE заключили новые контракты на 5G во Вьетнаме на фоне обострения торговых отношений с США (новые американские тарифы). Консорциум с участием Huawei выиграл контракт на 5G стоимостью $23 млн в апреле 2025 года. ZTE получила как минимум ещё два контракта на антенны стоимостью свыше $20 млн. Ericsson и Nokia сохраняют позиции поставщиков ядра сети (core); Huawei и ZTE занимают нишу антенн и неосновного оборудования. Западные официальные лица выразили обеспокоенность безопасностью расширяющегося присутствия китайских поставщиков во вьетнамской инфраструктуре 5G.,[140]
75,2026,Индонезия,5G / Телекоммуникации,"XLSMART (XL Axiata + Smartfren), ZTE","28 февраля 2026 года ZTE и XLSMART официально запустили XL Ultra 5G+ — первую в Индонезии 5G-сеть с общенациональным покрытием. Сеть сертифицирована Ookla как ""Самая быстрая сеть 5G в Индонезии (2-е полугодие 2025 года)"". В рамках партнёрства ZTE предоставила оборудование RAN, решения оптимизации и комплексную поддержку развёртывания. Объединённая компания XLSMART образована путём слияния XL Axiata и Smartfren; Huawei в ранее предоставляла 70% оборудования для XL Axiata (данные ASPI 2024). Проект создаёт базовую 5G-инфраструктуру для разработки IoT, умных городов и корпоративных приложений следующего поколения.",[144]
76,2017,Камбоджа,Мобильная связь / 4.5G,"Huawei, Smart Axiata","Запуск мобильной связи стандарта 4.5G в Камбодже совместно Huawei и мобильным оператором Smart Axiata. Технология призвана обеспечить скорость мобильного интернета в 10 раз выше обычного 4G, поддерживая HD-видео, услуги IoT (Интернет вещей) и возможности беспроводного домашнего широкополосного доступа (WTTx). Проект заявлен как эволюционный шаг на пути к 5G в развивающихся рынках для обеспечения устойчивого развития.",[121]
